exp,problem,cfg,seed,method,theta,iters,phase1_iters,phase2_iters,fevals,gevals,hevals,hvevals,time_s,gnorm,fval,converged,switched,switched_at_gnorm,probes_failed,rho_hat,decisions,probes_fired,error
E6,a9a,default,0,NAG-CM,,1747,,,0,1748,0,0,6.898,9.956843799677307e-07,0.32337958279610024,1,0,,0,,,,
E7,quadratic,kappa1000.0-n200,0,Hybrid-fixed,0.001,319,319,0,1,322,1,0,0.037,1.3990115530663032e-12,-15294.454749944889,1,1,0.0010070826916808672,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,0.5,162,162,0,1,165,1,0,0.071,6.7489844274629774e-12,-75918.72034491594,1,1,0.5113481536199244,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,0.5,163,163,0,1,166,1,0,0.077,6.7659174803379315e-12,-75918.72034491597,1,1,0.49753789683205096,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,0.5,163,163,0,1,166,1,0,0.081,6.281660946060519e-12,-75918.72034491602,1,1,0.502879529764007,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,0.5,160,160,0,1,163,1,0,0.073,6.310600614375037e-12,-75918.72034491596,1,1,0.511461162322778,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,0.5,161,161,0,1,164,1,0,0.077,6.200160501039952e-12,-75918.72034491596,1,1,0.5001730693243275,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,0.5,162,162,0,1,165,1,0,0.075,6.644541768500335e-12,-75918.72034491591,1,1,0.5133751302769527,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,0.5,160,160,0,1,163,1,0,0.076,6.593559265537993e-12,-75918.72034491597,1,1,0.5137288528839155,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,0.5,163,163,0,1,166,1,0,0.091,6.568322201984209e-12,-75918.72034491596,1,1,0.4964141906324307,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,0.5,162,162,0,1,165,1,0,0.076,6.422916513261222e-12,-75918.72034491597,1,1,0.5128804594609454,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,0.5,160,160,0,1,163,1,0,0.071,6.670421217815031e-12,-75918.72034491596,1,1,0.5113767954468933,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,0.3,176,176,0,1,179,1,0,0.086,6.3494776328558e-12,-75918.72034491597,1,1,0.2982978677614734,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,0.3,177,177,0,1,180,1,0,0.089,6.463700737643888e-12,-75918.72034491597,1,1,0.302117642376826,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,0.3,177,177,0,1,180,1,0,0.074,6.365178343990946e-12,-75918.72034491597,1,1,0.30174055438664504,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,0.3,174,174,0,1,177,1,0,0.071,6.6102486601390396e-12,-75918.72034491596,1,1,0.30343477487578174,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,0.3,175,175,0,1,178,1,0,0.104,6.838513347584144e-12,-75918.72034491597,1,1,0.30426343436715564,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,0.3,175,175,0,1,178,1,0,0.079,6.463314820543212e-12,-75918.72034491596,1,1,0.3055980529444848,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,0.3,174,174,0,1,177,1,0,0.092,6.634507071718233e-12,-75918.72034491602,1,1,0.3044015671634348,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,0.3,177,177,0,1,180,1,0,0.094,6.372218848918863e-12,-75918.72034491596,1,1,0.3044003459721158,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,0.3,176,176,0,1,179,1,0,0.073,6.765330524013488e-12,-75918.72034491593,1,1,0.3014538875742049,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,0.3,174,174,0,1,177,1,0,0.088,6.556254915945481e-12,-75918.72034491599,1,1,0.30494467120666596,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,0.2,188,188,0,1,191,1,0,0.116,6.613756059506076e-12,-75918.72034491599,1,1,0.2037310479924307,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,0.2,189,189,0,1,192,1,0,0.105,6.707394525561902e-12,-75918.72034491596,1,1,0.20621799374447278,0,,,,
